index,0a,0b,1a,1b,2a,2b,3a,3b,4a,4b,5a,5b,6a,6b,7a,7b,8a,8b,9a,9b,10a,10b,11a,11b,12a,12b,13a,13b,14a,14b,15a,15b,16a,16b,17a,17b,18a,18b,19a,19b,20a,20b,label
46,0.0,0.0,-0.13131,0.24242,-0.34343,0.21212,-0.44444,-0.11111,-0.53535,-0.41414,-0.9596,-0.28283,-0.47475,-0.60606,-0.23232,-0.39394,-0.26263,-0.23232,-0.93939,-0.57576,-0.34343,-0.78788,-0.09091,-0.50505,-0.13131,-0.35354,-0.81818,-0.76768,-0.26263,-0.94949,-0.05051,-0.68687,-0.09091,-0.54545,-0.64646,-0.88889,-0.24242,-1.0,-0.06061,-0.82828,-0.09091,-0.71717,0
47,0.0,0.0,-0.12871,0.19802,-0.30693,0.17822,-0.38614,-0.11881,-0.46535,-0.42574,-0.91089,-0.27723,-0.53465,-0.54455,-0.22772,-0.45545,-0.07921,-0.36634,-0.89109,-0.56436,-0.37624,-0.78218,-0.07921,-0.57426,-0.0099,-0.41584,-0.78218,-0.76238,-0.29703,-0.93069,-0.05941,-0.71287,-0.0297,-0.53465,-0.62376,-0.86139,-0.24752,-1.0,-0.05941,-0.85149,-0.0495,-0.72277,0
48,0.0,0.0,-0.14433,0.23711,-0.3299,0.2268,-0.41237,-0.10309,-0.49485,-0.42268,-0.95876,-0.26804,-0.54639,-0.56701,-0.23711,-0.45361,-0.1134,-0.35052,-0.94845,-0.56701,-0.37113,-0.79381,-0.06186,-0.54639,-0.02062,-0.37113,-0.83505,-0.7732,-0.26804,-0.93814,-0.03093,-0.6701,-0.02062,-0.48454,-0.65979,-0.8866,-0.23711,-1.0,-0.03093,-0.81443,-0.05155,-0.6701,0
49,0.0,0.0,-0.16346,0.11538,-0.33654,0.07692,-0.38462,-0.21154,-0.42308,-0.48077,-0.88462,-0.36538,-0.59615,-0.57692,-0.36538,-0.60577,-0.21154,-0.60577,-0.83654,-0.61538,-0.47115,-0.81731,-0.18269,-0.74038,-0.04808,-0.68269,-0.71154,-0.78846,-0.31731,-0.94231,-0.09615,-0.77885,-0.03846,-0.64423,-0.52885,-0.86538,-0.24038,-1.0,-0.07692,-0.875,-0.05769,-0.75,0
50,0.0,0.0,-0.18269,0.07692,-0.38462,0.03846,-0.45192,-0.21154,-0.44231,-0.47115,-0.84615,-0.52885,-0.44231,-0.65385,-0.23077,-0.45192,-0.20192,-0.29808,-0.72115,-0.75962,-0.29808,-0.85577,-0.10577,-0.58654,-0.09615,-0.42308,-0.54808,-0.89423,-0.13462,-0.97115,0.00962,-0.70192,-0.01923,-0.53846,-0.35577,-0.95192,-0.04808,-1.0,0.06731,-0.78846,0.02885,-0.64423,0
51,0.0,0.0,-0.17822,0.09901,-0.39604,0.0495,-0.44554,-0.20792,-0.43564,-0.46535,-0.84158,-0.54455,-0.41584,-0.70297,-0.22772,-0.46535,-0.21782,-0.29703,-0.70297,-0.79208,-0.26733,-0.86139,-0.06931,-0.57426,-0.10891,-0.42574,-0.51485,-0.93069,-0.10891,-0.9703,0.0396,-0.69307,-0.0099,-0.54455,-0.29703,-0.9802,0.0,-1.0,0.10891,-0.77228,0.0495,-0.64356,0
52,0.0,0.0,-0.17925,0.0566,-0.38679,-0.0283,-0.4717,-0.28302,-0.50943,-0.53774,-0.83019,-0.5566,-0.45283,-0.73585,-0.25472,-0.51887,-0.21698,-0.34906,-0.67925,-0.78302,-0.28302,-0.87736,-0.09434,-0.60377,-0.09434,-0.43396,-0.48113,-0.89623,-0.11321,-0.9717,0.0283,-0.68868,0.0,-0.5283,-0.26415,-0.9434,-0.00943,-1.0,0.09434,-0.76415,0.0566,-0.62264,0
53,0.0,0.0,-0.24752,0.0495,-0.50495,-0.08911,-0.63366,-0.35644,-0.65347,-0.62376,-0.77228,-0.62376,-0.56436,-0.77228,-0.35644,-0.55446,-0.32673,-0.41584,-0.60396,-0.80198,-0.33663,-0.91089,-0.15842,-0.62376,-0.18812,-0.48515,-0.40594,-0.90099,-0.14851,-0.9802,-0.0099,-0.68317,-0.06931,-0.54455,-0.19802,-0.94059,0.0,-1.0,0.09901,-0.75248,0.0297,-0.62376,0
54,0.0,0.0,-0.26596,0.11702,-0.6383,-0.06383,-0.85106,-0.40426,-0.8617,-0.73404,-0.84043,-0.58511,-0.73404,-0.7766,-0.52128,-0.53191,-0.47872,-0.40426,-0.60638,-0.7766,-0.44681,-0.93617,-0.24468,-0.58511,-0.26596,-0.48936,-0.3617,-0.88298,-0.14894,-0.98936,-0.02128,-0.6383,-0.09574,-0.55319,-0.10638,-0.92553,0.05319,-1.0,0.14894,-0.73404,0.06383,-0.6383,0
55,0.0,0.0,-0.31959,0.13402,-0.7732,-0.17526,-0.94845,-0.62887,-0.94845,-0.93814,-0.76289,-0.7732,-0.68041,-0.92784,-0.58763,-0.62887,-0.65979,-0.57732,-0.49485,-0.86598,-0.40206,-0.98969,-0.28866,-0.56701,-0.38144,-0.59794,-0.23711,-0.90722,-0.12371,-1.0,-0.07216,-0.59794,-0.15464,-0.59794,0.02062,-0.94845,0.08247,-0.97938,0.12371,-0.6701,0.06186,-0.62887,0
